,nodeid,mon,yr,total_sales_volume,total_sales_price,pm_total_sales_volume,pm_total_sales_price,l3m_total_sales_volume,l3m_total_sales_price,l12m_total_sales_volume,l12m_total_sales_price,numreviews_by_period,avgrating_by_period,numreviews,avgrating
0,2672,2.0,2011.0,3,543.55,4,543.55,11,1612.1,47,7957.1,0.0,0.0,1.0,5.0
1,2672,2.0,2012.0,1,173.55,0,0.0,9,1609.2,27,4718.4,0.0,0.0,1.0,5.0
2,2672,2.0,2013.0,48,7856.35,94,16384.42,581,95955.52,798,128203.42,0.0,0.0,1.0,5.0
3,2672,2.0,2014.0,1,175.5,0,0.0,41,7566.0,242,41467.99,0.0,0.0,1.0,5.0
4,2672,2.0,2015.0,5,877.5,1,0.0,25,4264.0,54,9148.75,0.0,0.0,1.0,5.0
5,2672,2.0,2016.0,2,351.0,4,702.0,18,3188.25,38,6815.25,0.0,0.0,1.0,5.0
6,2672,3.0,2011.0,4,523.55,3,543.55,10,1435.65,50,8500.65,0.0,0.0,1.0,5.0
7,2672,3.0,2012.0,1,195.0,1,173.55,7,1239.2,25,4348.4,0.0,0.0,1.0,5.0
8,2672,3.0,2013.0,39,6584.99,48,7856.35,368,62471.67,845,135886.22,0.0,0.0,1.0,5.0
9,2672,3.0,2014.0,4,585.0,1,175.5,25,4602.0,195,33787.14,0.0,0.0,1.0,5.0
10,2672,3.0,2015.0,6,1111.5,5,877.5,21,3588.0,58,9850.75,0.0,0.0,1.0,5.0
11,2672,3.0,2016.0,1,195.0,2,351.0,17,3003.0,35,6288.75,0.0,0.0,1.0,5.0
12,2672,4.0,2011.0,0,0.0,4,523.55,11,1610.65,54,9024.2,0.0,0.0,1.0,5.0
13,2672,4.0,2012.0,1,195.0,1,195.0,2,368.55,22,4019.85,0.0,0.0,1.0,5.0
14,2672,4.0,2013.0,23,3449.3,39,6584.99,181,30825.76,883,142276.21,0.0,0.0,1.0,5.0
15,2672,4.0,2014.0,4,741.0,4,585.0,5,760.5,160,27787.15,0.0,0.0,1.0,5.0
16,2672,4.0,2015.0,3,565.5,6,1111.5,12,1989.0,60,10377.25,0.0,0.0,1.0,5.0
17,2672,4.0,2016.0,1,195.0,1,195.0,7,1248.0,30,5372.25,0.0,0.0,1.0,5.0
18,2672,5.0,2011.0,4,718.55,0,0.0,7,1067.1,54,9024.2,0.0,0.0,1.0,5.0
19,2672,5.0,2012.0,0,0.0,1,195.0,3,563.55,23,4214.85,0.0,0.0,1.0,5.0
20,2672,5.0,2013.0,17,3086.85,23,3449.3,110,17890.64,905,145530.51,0.0,0.0,1.0,5.0
21,2672,5.0,2014.0,2,390.0,4,741.0,9,1501.5,141,25078.85,0.0,0.0,1.0,5.0
22,2672,5.0,2015.0,2,351.0,3,565.5,14,2554.5,59,10201.75,0.0,0.0,1.0,5.0
23,2672,5.0,2016.0,1,195.0,1,195.0,4,741.0,28,5001.75,0.0,0.0,1.0,5.0
24,2672,6.0,2011.0,1,173.55,4,718.55,8,1242.1,58,9742.75,0.0,0.0,1.0,5.0
25,2672,6.0,2013.0,16,2710.5,17,3086.85,79,13121.14,922,148617.36,0.0,0.0,1.0,5.0
26,2672,6.0,2014.0,2,390.0,2,390.0,10,1716.0,126,22382.0,0.0,0.0,1.0,5.0
27,2672,6.0,2015.0,0,0.0,2,351.0,11,2028.0,59,10162.75,0.0,0.0,1.0,5.0
28,2672,6.0,2016.0,1,155.99,1,195.0,3,585.0,27,4845.75,0.0,0.0,1.0,5.0
29,2672,7.0,2010.0,13,2335.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1.0,5.0
30,2672,7.0,2011.0,2,370.0,1,173.55,5,892.1,59,9916.3,0.0,0.0,1.0,5.0
31,2672,7.0,2012.0,1,173.55,0,0.0,1,195.0,18,3322.75,0.0,0.0,1.0,5.0
32,2672,7.0,2013.0,44,7698.5,16,2710.5,56,9246.65,938,151327.86,0.0,0.0,1.0,5.0
33,2672,7.0,2014.0,2,175.5,2,390.0,8,1521.0,112,20061.5,0.0,0.0,1.0,5.0
34,2672,7.0,2015.0,3,526.5,0,0.0,5,916.5,57,9772.75,0.0,0.0,1.0,5.0
35,2672,7.0,2016.0,3,546.0,1,155.99,3,545.99,28,5001.74,0.0,0.0,1.0,5.0
36,2672,8.0,2010.0,12,2200.0,13,2335.0,13,2335.0,13,2335.0,0.0,0.0,1.0,5.0
37,2672,8.0,2011.0,1,195.0,2,370.0,7,1262.1,48,7951.3,0.0,0.0,1.0,5.0
38,2672,8.0,2012.0,0,0.0,1,173.55,1,173.55,17,3126.3,0.0,0.0,1.0,5.0
39,2672,8.0,2013.0,6,1072.5,44,7698.5,77,13495.85,981,158852.81,0.0,0.0,1.0,5.0
40,2672,8.0,2014.0,1,195.0,2,175.5,6,955.5,70,12538.5,0.0,0.0,1.0,5.0
41,2672,8.0,2015.0,0,0.0,3,526.5,5,877.5,58,10123.75,0.0,0.0,1.0,5.0
42,2672,8.0,2016.0,2,390.0,3,546.0,5,896.99,28,5021.24,0.0,0.0,1.0,5.0
43,2672,9.0,2010.0,7,1110.0,12,2200.0,25,4535.0,25,4535.0,0.0,0.0,1.0,5.0
44,2672,9.0,2011.0,2,390.0,1,195.0,4,738.55,37,5946.3,0.0,0.0,1.0,5.0
45,2672,9.0,2012.0,103,18964.1,0,0.0,1,173.55,16,2931.3,0.0,0.0,1.0,5.0
46,2672,9.0,2013.0,6,1092.0,6,1072.5,66,11481.5,987,159925.31,0.0,0.0,1.0,5.0
47,2672,9.0,2014.0,6,1062.75,1,195.0,5,760.5,65,11661.0,0.0,0.0,1.0,5.0
48,2672,9.0,2015.0,1,195.0,0,0.0,3,526.5,57,9928.75,0.0,0.0,1.0,5.0
49,2672,9.0,2016.0,0,0.0,2,390.0,6,1091.99,30,5411.24,0.0,0.0,1.0,5.0
50,2672,10.0,2010.0,4,700.0,7,1110.0,32,5645.0,32,5645.0,0.0,0.0,1.0,5.0
51,2672,10.0,2011.0,1,195.0,2,390.0,5,955.0,32,5226.3,0.0,0.0,1.0,5.0
52,2672,10.0,2012.0,110,12546.7,103,18964.1,104,19137.65,117,21505.4,0.0,0.0,1.0,5.0
53,2672,10.0,2013.0,2,351.0,6,1092.0,56,9863.0,890,142053.21,1.0,5.0,1.0,5.0
54,2672,10.0,2014.0,7,1170.0,6,1062.75,9,1433.25,65,11631.75,0.0,0.0,1.0,5.0
55,2672,10.0,2015.0,0,0.0,1,195.0,4,721.5,52,9061.0,0.0,0.0,1.0,5.0
56,2672,11.0,2010.0,4,720.0,4,700.0,23,4010.0,36,6345.0,0.0,0.0,1.0,5.0
57,2672,11.0,2011.0,3,543.55,1,195.0,4,780.0,29,4721.3,0.0,0.0,1.0,5.0
58,2672,11.0,2012.0,261,41340.2,110,12546.7,213,31510.8,226,33857.1,0.0,0.0,1.0,5.0
59,2672,11.0,2013.0,17,3139.5,2,351.0,14,2515.5,782,129857.51,0.0,0.0,1.0,5.0
60,2672,11.0,2014.0,9,1553.5,7,1170.0,14,2427.75,70,12450.75,0.0,0.0,1.0,5.0
61,2672,11.0,2015.0,3,536.25,0,0.0,1,195.0,45,7891.0,0.0,0.0,1.0,5.0
62,2672,12.0,2010.0,3,348.55,4,720.0,15,2530.0,40,7065.0,0.0,0.0,1.0,5.0
63,2672,12.0,2011.0,6,1065.65,3,543.55,6,1128.55,28,4544.85,0.0,0.0,1.0,5.0
64,2672,12.0,2012.0,226,38230.9,261,41340.2,474,72851.0,484,74653.75,0.0,0.0,1.0,5.0
65,2672,12.0,2013.0,24,4426.5,17,3139.5,25,4582.5,538,91656.81,0.0,0.0,1.0,5.0
66,2672,12.0,2014.0,15,2710.5,9,1553.5,22,3786.25,62,10864.75,0.0,0.0,1.0,5.0
67,2672,12.0,2015.0,11,1950.0,3,536.25,4,731.25,39,6873.75,0.0,0.0,1.0,5.0
68,2672,1.0,2011.0,4,543.55,3,348.55,11,1768.55,43,7413.55,0.0,0.0,1.0,5.0
69,2672,1.0,2012.0,0,0.0,6,1065.65,10,1804.2,31,5261.95,0.0,0.0,1.0,5.0
70,2672,1.0,2013.0,94,16384.42,226,38230.9,597,92117.8,704,111819.0,0.0,0.0,1.0,5.0
71,2672,1.0,2014.0,0,0.0,24,4426.5,43,7917.0,336,57852.41,0.0,0.0,1.0,5.0
72,2672,1.0,2015.0,1,0.0,15,2710.5,31,5434.0,53,9148.75,0.0,0.0,1.0,5.0
73,2672,1.0,2016.0,4,702.0,11,1950.0,14,2486.25,35,6113.25,0.0,0.0,1.0,5.0
74,2946,2.0,2010.0,52,350.0,132,720.0,3179,27772.5,3909,35072.5,0.0,0.0,3.0,5.0
75,2946,2.0,2011.0,7,47.8,43,424.5,94,849.85,356,3044.85,0.0,0.0,3.0,5.0
76,2946,2.0,2012.0,7,86.36,5,63.32,35,275.17,77,658.37,0.0,0.0,3.0,5.0
77,2946,2.0,2013.0,5,50.5,4,38.85,26,310.64,54,614.5,0.0,0.0,3.0,5.0
78,2946,2.0,2014.0,1,12.95,2,498.95,11,1597.36,63,1980.32,0.0,0.0,3.0,5.0
79,2946,2.0,2015.0,1,12.95,1,12.95,53,36.15,73,775.13,0.0,0.0,3.0,5.0
80,2946,2.0,2016.0,1,12.95,0,0.0,11,540.0,21,2076.41,0.0,0.0,3.0,5.0
81,2946,3.0,2010.0,24,170.0,52,350.0,1060,6778.5,3961,35422.5,0.0,0.0,3.0,5.0
82,2946,3.0,2011.0,8,77.8,7,47.8,76,670.1,311,2742.65,0.0,0.0,3.0,5.0
83,2946,3.0,2012.0,2,23.04,7,86.36,23,250.57,77,696.93,0.0,0.0,3.0,5.0
84,2946,3.0,2013.0,14,24.6,5,50.5,23,262.99,52,578.64,0.0,0.0,3.0,5.0
85,2946,3.0,2014.0,1,12.95,1,12.95,9,1111.36,59,1942.77,0.0,0.0,3.0,5.0
86,2946,3.0,2015.0,3,552.95,1,12.95,54,49.1,73,775.13,0.0,0.0,3.0,5.0
87,2946,3.0,2016.0,1,12.95,1,12.95,11,12.95,21,2076.41,0.0,0.0,3.0,5.0
88,2946,4.0,2010.0,66,595.0,24,170.0,208,1240.0,3985,35592.5,0.0,0.0,3.0,5.0
